epoch;acc;loss;val_acc;val_loss
0;0.652777777778;0.871728213131;0.55;1.06735374331
1;0.597222222222;0.919849503371;0.5;1.00599404275
2;0.691666666667;0.826868757109;0.425;1.26515404582
3;0.694444444444;0.858705119292;0.6;1.03409116864
4;0.644444444444;0.856577307648;0.625;0.928308710456
5;0.722222222222;0.797148534656;0.55;0.960723811388
6;0.711111111111;0.746055122548;0.6;1.03502060771
7;0.738888888889;0.686916319529;0.55;1.07027216107
8;0.730555555556;0.711031500747;0.6;0.899695193768
9;0.741666666667;0.676276835303;0.625;1.0056755811
10;0.727777777778;0.688136377931;0.725;0.734154626727
11;0.783333333333;0.59141178752;0.7;0.924394004047
12;0.755555555556;0.643419859641;0.625;0.8628795892
13;0.769444444444;0.620790851075;0.55;1.02076419592
14;0.763888888889;0.606013182426;0.675;0.864041623473
15;0.816666666667;0.525369401276;0.675;0.809622177482
16;0.822222222222;0.518162342451;0.75;0.68119687736
17;0.797222222222;0.551242481296;0.7;0.805559024215
18;0.797222222222;0.56149721158;0.675;0.791151970625
19;0.833333333333;0.503880931437;0.7;0.714502244443
20;0.813888888889;0.523630811522;0.825;0.545686410367
21;0.816666666667;0.479932952341;0.75;0.688215482235
22;0.813888888889;0.481690295786;0.725;0.69192892611
23;0.833333333333;0.477225968283;0.675;0.791319701076
24;0.816666666667;0.507593707864;0.725;0.899470031261
